Sample,Simulation,Landmark,Type,Success,Error,Misalign,Dice,X,Y,Z
1,5,3,BSpline,TRUE,1.8552,3.69657118661,0.827673,-1.4864841,0.27541,-3.3733
1,5,3,Rigid,TRUE,0.899464,3.69657118661,0.827673,-1.4864841,0.27541,-3.3733
1,5,4,Affine,TRUE,1.29631,3.69657118661,0.827673,-1.4864841,0.27541,-3.3733
1,5,4,BSpline,TRUE,1.47933,3.69657118661,0.827673,-1.4864841,0.27541,-3.3733
1,5,4,Rigid,TRUE,1.29106,3.69657118661,0.827673,-1.4864841,0.27541,-3.3733
1,6,1,Affine,TRUE,1.99758,7.2010229008,0.822648,2.2644759,-0.54181,-6.8142
1,6,1,BSpline,TRUE,0.542955,7.2010229008,0.822648,2.2644759,-0.54181,-6.8142
1,6,1,Rigid,TRUE,0.509602,7.2010229008,0.822648,2.2644759,-0.54181,-6.8142
1,6,2,Affine,TRUE,1.79215,7.2010229008,0.822648,2.2644759,-0.54181,-6.8142
1,6,2,BSpline,TRUE,1.14232,7.2010229008,0.822648,2.2644759,-0.54181,-6.8142
1,6,2,Rigid,TRUE,0.819484,7.2010229008,0.822648,2.2644759,-0.54181,-6.8142
1,6,3,Affine,TRUE,4.93139,7.2010229008,0.822648,2.2644759,-0.54181,-6.8142
1,6,3,BSpline,TRUE,1.79659,7.2010229008,0.822648,2.2644759,-0.54181,-6.8142
1,6,3,Rigid,TRUE,0.749718,7.2010229008,0.822648,2.2644759,-0.54181,-6.8142
1,6,4,Affine,TRUE,1.26404,7.2010229008,0.822648,2.2644759,-0.54181,-6.8142
1,6,4,BSpline,TRUE,1.48634,7.2010229008,0.822648,2.2644759,-0.54181,-6.8142
1,6,4,Rigid,TRUE,1.23526,7.2010229008,0.822648,2.2644759,-0.54181,-6.8142
1,7,1,Affine,TRUE,1.78846,3.13646332291,0.827458,-1.2941441,-1.18738,-2.5986
1,7,1,BSpline,TRUE,0.56511,3.13646332291,0.827458,-1.2941441,-1.18738,-2.5986
1,7,1,Rigid,TRUE,0.417743,3.13646332291,0.827458,-1.2941441,-1.18738,-2.5986
1,7,2,Affine,TRUE,1.75692,3.13646332291,0.827458,-1.2941441,-1.18738,-2.5986
1,7,2,BSpline,TRUE,1.06198,3.13646332291,0.827458,-1.2941441,-1.18738,-2.5986
1,7,2,Rigid,TRUE,0.847502,3.13646332291,0.827458,-1.2941441,-1.18738,-2.5986
1,7,3,Affine,TRUE,4.56084,3.13646332291,0.827458,-1.2941441,-1.18738,-2.5986
1,7,3,BSpline,TRUE,1.87828,3.13646332291,0.827458,-1.2941441,-1.18738,-2.5986
1,7,3,Rigid,TRUE,0.912121,3.13646332291,0.827458,-1.2941441,-1.18738,-2.5986
1,7,4,Affine,TRUE,1.24006,3.13646332291,0.827458,-1.2941441,-1.18738,-2.5986
1,7,4,BSpline,TRUE,1.47351,3.13646332291,0.827458,-1.2941441,-1.18738,-2.5986
1,7,4,Rigid,TRUE,1.2716,3.13646332291,0.827458,-1.2941441,-1.18738,-2.5986
1,8,1,Affine,TRUE,1.76461,3.51698179825,0.828123,1.5253759,2.74423,-1.5848
1,8,1,BSpline,TRUE,0.543338,3.51698179825,0.828123,1.5253759,2.74423,-1.5848
1,8,1,Rigid,TRUE,0.536506,3.51698179825,0.828123,1.5253759,2.74423,-1.5848
1,8,2,Affine,TRUE,1.7995,3.51698179825,0.828123,1.5253759,2.74423,-1.5848
1,8,2,BSpline,TRUE,1.05648,3.51698179825,0.828123,1.5253759,2.74423,-1.5848
1,8,2,Rigid,TRUE,1.01083,3.51698179825,0.828123,1.5253759,2.74423,-1.5848
1,8,3,Affine,TRUE,4.65853,3.51698179825,0.828123,1.5253759,2.74423,-1.5848
1,8,3,BSpline,TRUE,1.87656,3.51698179825,0.828123,1.5253759,2.74423,-1.5848
1,8,3,Rigid,TRUE,0.795392,3.51698179825,0.828123,1.5253759,2.74423,-1.5848
1,8,4,Affine,TRUE,1.31346,3.51698179825,0.828123,1.5253759,2.74423,-1.5848
1,8,4,BSpline,TRUE,1.48276,3.51698179825,0.828123,1.5253759,2.74423,-1.5848
1,8,4,Rigid,TRUE,1.29432,3.51698179825,0.828123,1.5253759,2.74423,-1.5848
1,9,1,Affine,FALSE,10.2438,8.8064275825,0.552524,-1.8415741,-7.65199,-3.9508
1,9,1,BSpline,FALSE,10.7158,8.8064275825,0.552524,-1.8415741,-7.65199,-3.9508
1,9,1,Rigid,FALSE,12.685,8.8064275825,0.552524,-1.8415741,-7.65199,-3.9508
1,9,2,Affine,FALSE,9.97722,8.8064275825,0.552524,-1.8415741,-7.65199,-3.9508
1,9,2,BSpline,FALSE,10.5199,8.8064275825,0.552524,-1.8415741,-7.65199,-3.9508
1,9,2,Rigid,FALSE,10.626,8.8064275825,0.552524,-1.8415741,-7.65199,-3.9508
1,9,3,Affine,FALSE,9.56712,8.8064275825,0.552524,-1.8415741,-7.65199,-3.9508
1,9,3,BSpline,FALSE,9.72948,8.8064275825,0.552524,-1.8415741,-7.65199,-3.9508
1,9,3,Rigid,FALSE,13.1143,8.8064275825,0.552524,-1.8415741,-7.65199,-3.9508
1,9,4,Affine,FALSE,8.18059,8.8064275825,0.552524,-1.8415741,-7.65199,-3.9508
1,9,4,BSpline,FALSE,8.58754,8.8064275825,0.552524,-1.8415741,-7.65199,-3.9508
1,9,4,Rigid,FALSE,9.86749,8.8064275825,0.552524,-1.8415741,-7.65199,-3.9508
1,10,1,Affine,TRUE,1.53811,1.87805114524,0.831708,-1.3140541,0.68792,1.152
1,10,1,BSpline,TRUE,0.586742,1.87805114524,0.831708,-1.3140541,0.68792,1.152
1,10,1,Rigid,TRUE,0.449485,1.87805114524,0.831708,-1.3140541,0.68792,1.152
1,10,2,Affine,TRUE,1.71054,1.87805114524,0.831708,-1.3140541,0.68792,1.152
1,10,2,BSpline,TRUE,1.11,1.87805114524,0.831708,-1.3140541,0.68792,1.152
1,10,2,Rigid,TRUE,0.803108,1.87805114524,0.831708,-1.3140541,0.68792,1.152
1,10,3,Affine,TRUE,4.56558,1.87805114524,0.831708,-1.3140541,0.68792,1.152
1,10,3,BSpline,TRUE,1.82983,1.87805114524,0.831708,-1.3140541,0.68792,1.152
1,10,3,Rigid,TRUE,0.941638,1.87805114524,0.831708,-1.3140541,0.68792,1.152
1,10,4,Affine,TRUE,1.28814,1.87805114524,0.831708,-1.3140541,0.68792,1.152
1,10,4,BSpline,TRUE,1.47154,1.87805114524,0.831708,-1.3140541,0.68792,1.152
1,10,4,Rigid,TRUE,1.19885,1.87805114524,0.831708,-1.3140541,0.68792,1.152
1,11,1,Affine,TRUE,1.78136,6.35016230746,0.827049,5.0720859,2.80871,-2.5903
1,11,1,BSpline,TRUE,0.570575,6.35016230746,0.827049,5.0720859,2.80871,-2.5903
1,11,1,Rigid,TRUE,0.448904,6.35016230746,0.827049,5.0720859,2.80871,-2.5903
1,11,2,Affine,TRUE,1.77783,6.35016230746,0.827049,5.0720859,2.80871,-2.5903
1,11,2,BSpline,TRUE,1.05849,6.35016230746,0.827049,5.0720859,2.80871,-2.5903
1,11,2,Rigid,TRUE,0.686491,6.35016230746,0.827049,5.0720859,2.80871,-2.5903
1,11,3,Affine,TRUE,4.89203,6.35016230746,0.827049,5.0720859,2.80871,-2.5903
1,11,3,BSpline,TRUE,1.86292,6.35016230746,0.827049,5.0720859,2.80871,-2.5903
1,11,3,Rigid,TRUE,0.833156,6.35016230746,0.827049,5.0720859,2.80871,-2.5903
1,11,4,Affine,TRUE,1.39496,6.35016230746,0.827049,5.0720859,2.80871,-2.5903
1,11,4,BSpline,TRUE,1.49781,6.35016230746,0.827049,5.0720859,2.80871,-2.5903
1,11,4,Rigid,TRUE,1.15441,6.35016230746,0.827049,5.0720859,2.80871,-2.5903
1,12,1,Affine,TRUE,1.52058,8.32547706977,0.827281,-1.4946741,-8.11971,-1.0723
1,12,1,BSpline,TRUE,0.603077,8.32547706977,0.827281,-1.4946741,-8.11971,-1.0723
1,12,1,Rigid,TRUE,0.592732,8.32547706977,0.827281,-1.4946741,-8.11971,-1.0723
1,12,2,Affine,TRUE,1.60395,8.32547706977,0.827281,-1.4946741,-8.11971,-1.0723
1,12,2,BSpline,TRUE,1.19051,8.32547706977,0.827281,-1.4946741,-8.11971,-1.0723
1,12,2,Rigid,TRUE,1.04225,8.32547706977,0.827281,-1.4946741,-8.11971,-1.0723
1,12,3,Affine,TRUE,2.86992,8.32547706977,0.827281,-1.4946741,-8.11971,-1.0723
1,12,3,BSpline,TRUE,1.81358,8.32547706977,0.827281,-1.4946741,-8.11971,-1.0723
1,12,3,Rigid,TRUE,0.790367,8.32547706977,0.827281,-1.4946741,-8.11971,-1.0723
1,12,4,Affine,TRUE,1.48039,8.32547706977,0.827281,-1.4946741,-8.11971,-1.0723
1,12,4,BSpline,TRUE,1.4245,8.32547706977,0.827281,-1.4946741,-8.11971,-1.0723
1,12,4,Rigid,TRUE,1.12479,8.32547706977,0.827281,-1.4946741,-8.11971,-1.0723
1,13,1,Affine,TRUE,1.70062,0.636557425569,0.829026,-0.0725561,-0.48828,0.4019
1,13,1,BSpline,TRUE,0.569073,0.636557425569,0.829026,-0.0725561,-0.48828,0.4019
1,13,1,Rigid,TRUE,0.524707,0.636557425569,0.829026,-0.0725561,-0.48828,0.4019
1,13,2,Affine,TRUE,1.7529,0.636557425569,0.829026,-0.0725561,-0.48828,0.4019
1,13,2,BSpline,TRUE,1.06538,0.636557425569,0.829026,-0.0725561,-0.48828,0.4019
1,13,2,Rigid,TRUE,0.866417,0.636557425569,0.829026,-0.0725561,-0.48828,0.4019
1,13,3,Affine,TRUE,4.63047,0.636557425569,0.829026,-0.0725561,-0.48828,0.4019
1,13,3,BSpline,TRUE,1.87612,0.636557425569,0.829026,-0.0725561,-0.48828,0.4019
1,13,3,Rigid,TRUE,0.649647,0.636557425569,0.829026,-0.0725561,-0.48828,0.4019
