CaseID, Init.Err, Res.Err
9,11.3244,0.0716317
10,8.21269,0.035168
10,6.61022,0.0524879
10,9.81517,0.01159
4,5.26528,0.0635086
6,11.6417,6.32266
7,5.64622,0.168747
8,7.0394,0.0189753
10,11.8183,0.108679
3,10.8217,0.0326052
7,8.06603,0.0947506
6,7.02518,0.0378267
7,10.4858,0.215315
6,7.42662,0.152359
7,6.25117,0.101981
9,8.89772,0.0432382
7,9.47759,0.237499
8,8.84953,0.0292675
8,8.84953,0.0544688
8,6.63715,0.0757347
7,9.47759,0.292567
3,6.41283,0.028997
9,5.86441,0.0804084
9,12.9421,0.778795
4,10.328,0.0405982
1,6.6097,0.0274438
3,10.4209,6.13194
8,13.4754,1.87842
4,7.69541,0.0356264
4,12.9607,0.346346
3,9.21845,0.0711622
9,12.1333,0.0657928
2,6.40002,0.0720565
4,9.31549,0.0285191
10,6.2096,0.0527366
9,9.90883,0.053736
3,6.41283,0.0161237
7,6.04952,0.0513996
8,13.0732,0.116518
8,7.44165,0.0140799
7,12.9056,19.3985
5,5.42876,0.04398
10,7.01084,0.0374292
5,7.43941,0.0594235
7,7.25943,0.124049
1,9.21352,0.0688111
2,8.40003,0.0703787
1,9.61411,0.0694254
7,7.46108,-1
8,13.0732,9.09418
2,11.4,3.16406
4,7.29038,0.105584
5,5.22769,0.146482
10,8.61331,0.0925007
3,11.0221,1.84729
4,8.50545,0.0419334
5,6.83621,0.0732625
6,12.846,7.50573
7,13.7123,4.07234
3,6.61323,0.11269
2,13,7.16008
2,7.20003,0.0159753
6,12.0432,0.38356
9,12.9421,0.850651
10,5.60867,0.0393903
3,5.81163,0.0862237
7,11.6957,0.20177
7,13.7123,18.9558
7,11.8974,0.0614893
9,7.48218,0.0767661
8,9.65404,0.0424146
4,5.87281,0.0708762
10,5.20805,0.100857
7,9.88089,0.0580094
4,6.27783,0.0357204
6,8.83166,0.10939
5,6.43408,0.111401
4,8.70796,0.104022
2,11.6,11.6514
3,9.01805,0.0574284
3,12.8257,3.45139
2,13.6,20.5895
3,13.4269,19.3536
7,13.309,15.5559
5,11.8628,0.363781
3,12.6253,10.5014
8,9.25179,0.0808114
5,14.0746,15.6017
1,13.8203,0.0972337
10,13.2204,7.3816
2,8.60003,0.03155
3,12.0241,12.5995
1,9.01323,0.159276
3,13.0261,9.62772
5,9.04793,-1
5,11.4607,0.550819
5,6.43408,0.111401
10,10.2158,0.123595
1,6.00882,0.0484511
3,5.21043,0.144178
2,9.40003,0.0962121
9,7.07773,0.0682196
7,7.86438,0.0156597
6,10.2367,8.12332
10,14.0217,19.0943
2,9.80003,0.0879267
5,13.0692,0.327364
3,7.01404,0.0554215
2,14,14.193
9,12.5377,0.0869974
7,9.27594,0.209422
1,5.20764,0.0675491
1,5.40794,0.05179
5,12.466,7.57
1,12.4182,0.147426
8,13.4754,14.0172
5,5.62982,0.154613
2,12.4,0.070547
2,10,0.0499382
1,8.81293,0.171778
6,12.4446,7.64652
6,10.4374,0.152889
9,8.08884,0.0533946
10,8.21269,0.0447231
5,10.4554,0.151013
10,10.6164,0.0479177
2,9.20003,0.0994653
2,13.4,4.67813
10,5.20805,0.0318861
2,6.80002,0.00458251
3,7.61524,0.0278925
9,7.27996,0.0919208
9,8.6955,0.0192848
3,12.6253,5.6166
9,8.08884,0.0684525
1,6.00882,0.0623639
4,6.68285,0.102403
3,10.4209,0.0262855
1,6.6097,0.11271
7,12.704,3.70224
1,7.01029,0.0564758
9,9.70661,0.045569
3,12.6253,11.5308
6,12.6453,13.4429
6,10.6381,0.142147
2,10.4,0.0379361
5,13.0692,10.1279
4,11.1381,0.059093
8,12.8721,0.186067
8,12.4698,19.9004
5,5.83089,0.0971924
9,6.67329,0.0850585
10,11.8183,0.0329171
3,13.8277,10.6961
1,10.6156,0.077322
5,13.2703,6.80276
6,13.6489,10.422
9,13.751,2.66122
9,11.7288,0.135464
8,8.64841,0.167669
2,13,6.82938
8,6.03377,0.0900157
6,9.83526,6.88075
6,10.4374,0.556331
5,6.23302,-1
9,8.89772,0.0545548
3,12.8257,3.0137
2,10.8,16.5285
9,10.3133,0.0682186
9,11.3244,0.115222
6,7.42662,-1
10,6.2096,0.0376266
6,11.2403,11.6968
9,14.1555,0.188627
5,8.84686,0.0264306
7,11.4941,0.419984
5,11.0586,0.0348978
1,13.4197,0.0600358
10,5.20805,0.0351464
8,8.84953,0.0772506
3,7.01404,-1
3,8.41685,0.0646958
2,7.60003,0.0755622
9,13.3466,10.1084
6,12.0432,10.529
5,8.84686,0.150358
8,8.24616,0.114001
8,7.64278,0.0658966
5,6.03195,0.116525
3,10.6213,0.168642
1,12.6185,0.118444
4,5.6703,0.0744682
1,7.01029,0.0493712
2,6.80002,0.0108307
6,6.2223,0.0867658
5,7.23834,0.202947
6,12.4446,6.59833
6,7.02518,0.0644717
5,9.04793,0.0776187
3,8.81765,0.0884847
5,13.8735,12.5954
10,7.61176,0.0881522
5,11.6618,0.0415369
4,11.5431,0.0687017
9,6.87551,0.0657735
8,5.83265,0.075519
10,9.61486,0.0602665
7,9.27594,0.131233
5,10.0533,0.196514
3,8.41685,0.0291431
4,6.27783,0.0180549
6,8.43022,0.057945
8,11.0619,0.0685854
7,12.5023,15.9403
8,9.05066,0.0763655
3,6.21243,0.119617
4,12.1506,0.0977494
3,13.8277,14.6121
7,8.26768,0.0259875
1,12.2179,0.0789305
2,10,0.431758
2,5.60002,0.0414847
10,6.40991,0.11614
3,14.0281,14.4538
1,8.61264,0.0365748
3,5.61123,-1
1,5.20764,-1
7,8.06603,0.115772
10,7.01084,0.0411397
9,13.1444,0.200743
4,7.89792,0.036047
9,9.30217,0.0375829
8,11.6653,0.494116
5,7.84154,0.195865
2,6.40002,0.0799243
1,13.8203,13.6258
8,5.4304,0.0746648
7,6.85613,0.053681
2,8.40003,0.0175437
1,10.0147,0.172956
3,5.41083,0.0101815
4,6.48034,0.0771675
2,13.4,1.24144
4,14.1757,5.50709
6,9.63454,0.0612588
7,7.66273,0.0548938
10,9.41455,0.0288454
1,8.21205,0.0733879
1,6.20911,0.0289062
10,5.80898,0.0229032
5,8.24367,0.110148
3,8.61725,0.587996
2,12,15.4427
6,11.441,-1
10,10.2158,0.0421144
9,10.111,0.0465399
8,7.0394,0.0183011
2,13.4,19.6355
6,12.6453,8.27839
1,10.6156,0.102603
4,6.68285,0.0517741
3,9.81965,0.058994
9,11.931,0.052931
6,12.2439,13.079
5,11.4607,4.93113
6,6.02158,0.129557
5,5.83089,0.0628382
3,8.01604,0.0352366
3,12.6253,11.0866
6,8.2295,0.0590009
6,8.02878,0.0297355
6,6.82446,0.0912254
5,6.23302,0.109066
2,12.4,15.9313
5,5.22769,0.123563
8,6.63715,0.0260073
3,7.21444,0.0440269
5,8.84686,0.137755
9,12.3355,0.0835954
2,11.4,12.1495
3,12.4249,4.04556
10,9.61486,0.0145059
9,13.1444,1.76771
8,8.64841,0.0709347
7,6.04952,0.0498741
3,11.2225,2.0334
8,13.6766,0.273584
8,10.0563,0.233229
3,13.6273,6.45469
4,13.5682,0.707597
2,9.80003,0.317422
4,6.88536,0.0486856
7,7.05778,0.136465
1,9.8144,0.0833855
7,13.1073,11.206
5,7.64047,0.0897117
2,9.60003,0.0667285
10,9.61486,0.0243664
9,11.7288,0.0711777
9,8.08884,0.084389
1,6.80999,0.133427
5,6.03195,0.218162
2,13.2,21.2472
7,11.4941,0.0946283
1,12.8188,0.120329
9,5.86441,0.0547716
1,6.20911,0.0594017
4,9.518,0.0685159
9,11.5266,0.211903
2,13.6,12.8343
4,12.9607,0.403943
7,7.46108,0.0740345
7,8.46933,0.0826494
10,11.2173,0.152374
8,8.44728,0.0261292
9,6.06663,0.00991875
8,10.0563,0.0537331
5,5.83089,0.104534
8,11.8664,11.3039
9,6.67329,0.0140233
6,9.03238,0.103396
1,8.41234,0.0522303
8,10.2574,0.0357243
1,12.4182,0.112021
5,10.6564,0.0552978
10,12.8198,18.6721
3,7.01404,0.0182758
9,8.89772,0.0508422
7,7.25943,0.0709925
7,12.704,11.1769
10,11.8183,0.00782463
6,13.4482,6.86137
6,11.8425,10.3871
1,8.41234,0.205114
5,6.63515,0.0595038
10,10.4161,0.233323
10,6.2096,0.110906
3,13.0261,18.8515
7,12.099,0.0637944
2,5.80002,0.0272742
3,7.61524,0.00920905
9,5.66219,0.048261
4,13.7707,13.6183
7,6.65448,0.0489505
10,6.81053,0.0578546
8,9.05066,-1
3,10.2205,6.43403
8,9.45291,0.0884196
8,11.263,0.0353076
3,5.61123,-1
1,11.8173,0.0706951
4,8.30294,0.0422985
1,10.6156,0.165853
4,12.5557,0.0448345
2,5.20002,0.0517787
3,6.61323,0.0643259
4,5.26528,-1
9,9.90883,0.035897
5,10.0533,0.128523
9,13.751,0.561931
5,5.42876,0.177886
8,10.6597,0.0707352
8,12.4698,6.3433
7,6.65448,0.0472104
9,13.5488,4.75884
8,10.6597,0.148036
4,8.50545,0.0478553
2,8.20003,0.0996863
5,8.6458,0.194007
3,14.0281,-1
6,6.62374,0.112659
2,8.60003,0.0708942
2,7.40003,0.0682718
2,8.00003,0.0473984
6,5.41943,0.0392555
7,9.07428,0.0742089
7,9.47759,0.0664995
10,11.2173,0.311763
6,8.43022,0.0524799
4,8.70796,0.0169983
1,7.61117,0.0249907
3,10.4209,0.0995691
3,5.81163,0.0252793
9,11.1222,0.141476
3,9.41885,0.289492
5,6.23302,0.0799704
7,7.25943,0.0333454
5,13.6724,26.6086
3,9.21845,0.0474447
3,7.21444,0.0767817
4,12.7582,12.3465
9,9.70661,0.0423766
8,11.6653,0.291514
7,8.46933,0.0169147
1,9.21352,0.0781736
7,5.84787,0.101114
5,10.6564,0.177366
3,5.81163,0.0855302
6,11.2403,10.6314
6,6.62374,0.112659
7,13.7123,10.2987
3,13.6273,18.7841
10,11.2173,0.153078
2,11.4,16.9258
10,6.2096,0.0273321
2,7.60003,0.0755622
8,8.04503,0.0743693
5,12.8682,16.9946
1,6.40941,-1
6,11.0396,0.485246
5,10.2543,0.0684369
3,10.2205,2.91649
5,13.8735,12.7887
1,5.40794,0.218097
1,7.81146,0.125055
7,6.25117,0.0774874
1,12.0176,0.0263039
8,6.2349,0.066804
5,8.84686,0.185588
9,10.9199,0.0428968
7,13.9139,14.2649
6,9.2331,0.0697136
10,12.4192,0.049537
5,7.84154,0.132491
7,13.1073,0.158195
7,10.6875,0.0160988
10,13.8214,23.8117
9,11.931,0.0530289
3,8.01604,0.10385
4,6.88536,0.0935463
1,7.81146,0.0400107
6,11.8425,-1
9,6.47107,0.0778796
5,8.6458,0.0415517
9,8.6955,0.047279
4,9.92302,0.0345151
5,11.2596,0.0896151
4,12.3532,0.161593
8,5.63152,0.047272
4,11.1381,0.444111
1,12.6185,0.0292237
1,9.61411,0.0705545
7,5.64622,0.0487852
1,12.2179,0.0527391
5,8.6458,0.0573772
4,10.328,0.04547
1,7.81146,0.169305
1,11.2165,0.03546
9,6.06663,0.0846749
6,5.21871,0.0578887
2,5.40002,0.0237469
4,9.92302,0.0322741
6,8.02878,0.0582209
7,8.06603,0.143051
9,6.26885,0.038116
9,13.5488,1.14196
8,10.0563,0.144042
2,13.2,10.9792
4,12.7582,7.0764
5,12.8682,10.8887
6,6.2223,0.0258603
4,10.9356,0.18707
10,9.01393,0.0565742
6,13.2475,5.85156
