CaseID, Init.Err, Res.Err
2,4.00001,0.113767
3,5.01003,0.0996096
2,14,1.91945
8,6.03377,0.180336
5,1.00533,0.0623621
9,2.02221,0.0197807
1,9.01323,0.0716871
10,11.017,18.2592
1,10.0147,0.0856854
6,13.0468,15.3904
4,0,9.39E-14
6,3.01079,0.123123
7,1.00825,0.0322395
4,1.01255,0.0573942
5,15.0799,20.9783
4,3.03766,0.0276964
5,12.0639,15.2745
8,0,2.64E-14
6,13.0468,9.22007
8,3.01689,0.043417
10,8.01238,0.105135
8,0,3.22E-14
1,0,5.76E-14
7,12.099,0.215994
10,4.00619,0.0485586
4,10.1255,-1
3,9.01805,0.0228685
1,5.00735,0.0408214
4,10.1255,0.125644
2,9.00003,0.0332289
7,6.04952,0.0753382
5,1.00533,0.0127623
2,15.0001,0.929546
1,12.0176,0.0761917
7,0,2.94E-14
4,12.1506,19.5285
4,12.1506,0.045456
1,11.0162,0.0287732
3,9.01805,3.7546
2,9.00003,0.0742233
7,5.04127,0.0415254
3,1.00201,0.0264426
6,12.0432,8.13275
6,8.02878,0.0393674
3,1.00201,0.059698
6,2.00719,0.161738
1,15.022,0.127476
2,6.00002,0.0362935
6,7.02518,0.036292
2,5.00002,0.0600326
10,2.0031,0.0254364
10,14.0217,18.8486
6,9.03238,0.102808
8,9.05066,0.0565213
6,10.036,0.208539
2,0,2.03E-14
6,13.0468,13.7231
5,9.04793,0.145223
10,6.00929,-1
3,9.01805,0.0426993
5,4.0213,0.0268169
8,15.0844,6.38109
6,10.036,0.237295
8,4.02252,0.0352432
8,12.0675,11.32
6,4.01439,-1
4,2.02511,0.0760165
8,4.02252,0.0604731
10,0,9.09E-14
9,5.05552,0.0589559
10,3.00464,0.0167972
1,14.0206,13.0734
7,0,6.15E-15
8,1.00563,0.0351023
1,5.00735,0.0713544
1,0,5.76E-14
8,5.02814,0.113706
3,12.0241,8.66133
7,2.01651,-1
10,8.01238,0.0466128
10,13.0201,5.74227
1,4.00588,0.0657982
1,2.00294,0.0445074
3,10.0201,0.157636
1,11.0162,0.13749
8,6.03377,0.0251183
6,9.03238,0.0621389
1,2.00294,0.119368
10,6.00929,0.0758807
3,4.00802,0.0256242
8,2.01126,0.0276664
8,8.04503,0.0631255
9,1.01111,0.0389662
6,13.0468,12.0509
8,4.02252,0.045309
3,10.0201,6.35871
2,6.00002,0.0433697
7,0,0
8,4.02252,0.0333327
8,0,3.20E-15
7,2.01651,0.120071
2,9.00003,0.105979
3,14.0281,18.4713
2,4.00001,0.043639
1,2.00294,0.0713011
4,1.01255,0.0281777
5,9.04793,0.141734
5,5.02663,0.0858054
3,2.00401,0.0525652
2,9.00003,0.0565182
9,0,5.00E-14
7,10.0825,0.100087
7,14.1156,10.4718
7,13.1073,8.80671
3,12.0241,6.19649
2,10,0.0541827
2,8.00003,0.0291646
5,1.00533,0.0350347
3,15.0301,18.5441
5,7.03728,0.076331
6,5.01799,0.0507174
2,11,16.4844
2,0,9.62E-14
1,3.00441,0.063336
3,6.01203,0.060661
8,8.04503,0.0321997
6,7.02518,-1
3,8.01604,0.0597181
3,1.00201,0.0547206
5,4.0213,0.0263172
8,12.0675,17.6636
7,14.1156,16.3909
9,8.08884,0.0593398
9,0,1.04E-13
9,10.111,0.0308725
9,10.111,0.0996564
10,3.00464,0.0683502
4,6.07532,0.0629374
9,2.02221,0.0986032
1,6.00882,0.0782493
10,11.017,0.0562854
4,15.1883,10.1066
1,2.00294,-1
1,3.00441,0.123793
2,15.0001,0.1628
5,3.01598,0.0615966
5,1.00533,0.0127623
3,9.01805,0.0270082
3,8.01604,0.0737671
5,0,5.02E-15
3,15.0301,10.341
1,3.00441,0.106411
1,1.00147,0.102769
5,10.0533,0.0506698
6,3.01079,0.190187
3,2.00401,0.0177542
1,7.01029,0.116909
7,15.1238,9.5655
10,15.0232,19.7113
6,14.0504,13.2266
3,7.01404,0.096786
1,11.0162,0.185836
9,15.1666,4.62018
3,3.00602,0.0382979
7,14.1156,21.0081
10,10.0155,0.0347905
1,9.01323,0.0883567
9,15.1666,3.14063
10,3.00464,0.128983
4,5.06277,0.0284674
6,14.0504,8.5997
2,5.00002,0.118648
9,13.1444,0.216525
3,15.0301,19.1264
2,4.00001,0.0403372
9,1.01111,-1
4,5.06277,0.0469114
8,9.05066,0.0281595
3,8.01604,0.0419859
5,15.0799,-1
9,1.01111,0.0483708
4,3.03766,0.0569598
5,15.0799,0.500533
10,5.00774,0.0299564
1,6.00882,0.0213637
2,0,1.16E-13
9,4.04442,0.0260435
9,3.03331,0.0219555
8,3.01689,0.0424204
5,15.0799,28.9683
8,10.0563,0.124887
6,7.02518,0.0918927
1,12.0176,0.147638
8,11.0619,0.396324
8,2.01126,0.0904607
4,12.1506,0.0721639
9,3.03331,0.0357653
1,4.00588,0.11243
7,15.1238,13.7755
9,6.06663,0.0405352
6,10.036,12.9885
2,7.00002,0.111258
9,8.08884,0.0665602
9,3.03331,0.0626729
1,4.00588,0.0605212
4,2.02511,0.0194567
7,14.1156,-1
1,3.00441,0.108318
7,1.00825,-1
4,15.1883,19.1187
3,9.01805,0.0766003
6,1.0036,-1
1,13.0191,0.162369
9,1.01111,0.0345734
7,7.05778,0.0392813
4,14.1757,15.324
4,9.11298,0.0316538
10,7.01084,-1
5,10.0533,0.0775852
2,0,1.68E-14
4,3.03766,0.0497682
6,1.0036,0.0814406
8,14.0788,24.9917
3,8.01604,0.0429784
3,6.01203,0.0579527
7,15.1238,18.509
10,2.0031,0.043206
2,12,11.5661
6,11.0396,0.0886917
3,11.0221,3.9259
1,13.0191,0.145182
9,2.02221,-1
1,2.00294,0.0249593
4,11.1381,0.0374055
3,10.0201,1.12069
10,11.017,0.0408601
1,0,-1
1,13.0191,0.145563
9,3.03331,0.0337334
4,5.06277,0.144402
5,13.0692,12.7889
5,7.03728,0.159409
6,15.054,24.0685
6,9.03238,0.0323869
3,6.01203,0.138444
10,10.0155,0.0929554
9,0,-1
1,0,6.72E-14
7,13.1073,14.4695
9,9.09995,0.0777894
1,8.01176,0.0525352
1,7.01029,0.101668
9,7.07773,0.0694468
2,11,5.14012
7,8.06603,0.0533602
7,10.0825,0.0292766
6,6.02158,0.391109
3,1.00201,-1
2,11,-1
